Issue Type,Issue key,Issue id,Summary,Assignee,Assignee Id,Reporter,Reporter Id,Priority,Status,Resolution,Created,Updated,Due date
Test Case,DEPI-249,10497,Swag Labs - View Order Details,MoatazBellah,609dbadcdafdf0006825a2ed,MoatazBellah,609dbadcdafdf0006825a2ed,Medium,To Do,,27/Apr/25 11:42 PM,02/May/25 12:01 AM,
Test Case,DEPI-248,10495,Swag Labs - View a list of past orders,MoatazBellah,609dbadcdafdf0006825a2ed,MoatazBellah,609dbadcdafdf0006825a2ed,Medium,To Do,,27/Apr/25 11:37 PM,02/May/25 12:01 AM,
Test Case,DEPI-238,10462,Swag Labs - View product list - check the product details ,Rawda Ehab,712020:2980e0cb-9414-477b-89c4-c7c8ffb59e03,Rawda Ehab,712020:2980e0cb-9414-477b-89c4-c7c8ffb59e03,Medium,To Do,,15/Apr/25 9:00 PM,26/Apr/25 1:09 PM,
Test Case,DEPI-236,10430,Swag Labs - Checking add to cart functionality using problem_user choosing Sauce Labs Bolt T-Shirt ,Paula Amer,712020:15aa7309-5df5-444d-8e17-dd2a89641a0f,Paula Amer,712020:15aa7309-5df5-444d-8e17-dd2a89641a0f,High,To Do,,14/Apr/25 8:00 PM,02/May/25 12:36 AM,
Test Case,DEPI-235,10429,Swag Labs - Checking add to cart functionality using performance_glitch_user,Paula Amer,712020:15aa7309-5df5-444d-8e17-dd2a89641a0f,Paula Amer,712020:15aa7309-5df5-444d-8e17-dd2a89641a0f,Highest,To Do,,14/Apr/25 7:47 PM,02/May/25 12:35 AM,
Test Case,DEPI-215,10372,Swag Labs - Checking add to cart functionality using problem_user,Paula Amer,712020:15aa7309-5df5-444d-8e17-dd2a89641a0f,Paula Amer,712020:15aa7309-5df5-444d-8e17-dd2a89641a0f,Highest,To Do,,12/Apr/25 1:54 AM,02/May/25 12:34 AM,
Test Case,DEPI-214,10371,Swag Labs - Checking add to cart functionality using locked_out_user,Paula Amer,712020:15aa7309-5df5-444d-8e17-dd2a89641a0f,Paula Amer,712020:15aa7309-5df5-444d-8e17-dd2a89641a0f,High,To Do,,12/Apr/25 1:48 AM,02/May/25 12:33 AM,
Test Case,DEPI-205,10362,Swag Labs - Logout button functionality,MoatazBellah,609dbadcdafdf0006825a2ed,MoatazBellah,609dbadcdafdf0006825a2ed,High,Done,Done,11/Apr/25 11:29 PM,02/May/25 12:02 AM,
Test Case,DEPI-203,10358,Swag Labs - Test UI responsiveness on different screen sizes,MoatazBellah,609dbadcdafdf0006825a2ed,MoatazBellah,609dbadcdafdf0006825a2ed,High,Done,Done,11/Apr/25 10:58 PM,02/May/25 12:02 AM,
Test Case,DEPI-202,10357,Swag Labs - Test UI compatibility on different browsers,MoatazBellah,609dbadcdafdf0006825a2ed,MoatazBellah,609dbadcdafdf0006825a2ed,Highest,Done,Done,11/Apr/25 10:19 PM,02/May/25 12:02 AM,
Test Case,DEPI-188,10343,Swag Labs - Login with both fields blank,MoatazBellah,609dbadcdafdf0006825a2ed,MoatazBellah,609dbadcdafdf0006825a2ed,Highest,Done,Done,11/Apr/25 9:08 PM,02/May/25 12:02 AM,
